Município;Sigla UF;Região;Mês/Ano;Vítima
Acauã;PI;NORDESTE;jan-18;0
Agricolândia;PI;NORDESTE;jan-18;0
Água Branca;PI;NORDESTE;jan-18;0
Alagoinha Do Piauí;PI;NORDESTE;jan-18;0
Alegrete Do Piauí;PI;NORDESTE;jan-18;0
Alto Longá;PI;NORDESTE;jan-18;1
Altos;PI;NORDESTE;jan-18;0
Alvorada Do Gurguéia;PI;NORDESTE;jan-18;0
Amarante;PI;NORDESTE;jan-18;0
Angical Do Piauí;PI;NORDESTE;jan-18;0
Anísio De Abreu;PI;NORDESTE;jan-18;0
Antônio Almeida;PI;NORDESTE;jan-18;0
Aroazes;PI;NORDESTE;jan-18;0
Aroeiras Do Itaim;PI;NORDESTE;jan-18;0
Arraial;PI;NORDESTE;jan-18;0
Assunção Do Piauí;PI;NORDESTE;jan-18;0
Avelino Lopes;PI;NORDESTE;jan-18;0
Baixa Grande Do Ribeiro;PI;NORDESTE;jan-18;0
Barra D'Alcântara;PI;NORDESTE;jan-18;0
Barras;PI;NORDESTE;jan-18;0
Barreiras Do Piauí;PI;NORDESTE;jan-18;0
Barro Duro;PI;NORDESTE;jan-18;0
Batalha;PI;NORDESTE;jan-18;1
Bela Vista Do Piauí;PI;NORDESTE;jan-18;0
Belém Do Piauí;PI;NORDESTE;jan-18;0
Beneditinos;PI;NORDESTE;jan-18;0
Bertolínia;PI;NORDESTE;jan-18;0
Betânia Do Piauí;PI;NORDESTE;jan-18;0
Boa Hora;PI;NORDESTE;jan-18;0
Bocaina;PI;NORDESTE;jan-18;0
Bom Jesus;PI;NORDESTE;jan-18;0
Bom Princípio Do Piauí;PI;NORDESTE;jan-18;0
Bonfim Do Piauí;PI;NORDESTE;jan-18;0
Boqueirão Do Piauí;PI;NORDESTE;jan-18;0
Brasileira;PI;NORDESTE;jan-18;0
Brejo Do Piauí;PI;NORDESTE;jan-18;0
Buriti Dos Lopes;PI;NORDESTE;jan-18;0
Buriti Dos Montes;PI;NORDESTE;jan-18;0
Cabeceiras Do Piauí;PI;NORDESTE;jan-18;0
Cajazeiras Do Piauí;PI;NORDESTE;jan-18;0
Cajueiro Da Praia;PI;NORDESTE;jan-18;2
Caldeirão Grande Do Piauí;PI;NORDESTE;jan-18;0
Campinas Do Piauí;PI;NORDESTE;jan-18;0
Campo Alegre Do Fidalgo;PI;NORDESTE;jan-18;0
Campo Grande Do Piauí;PI;NORDESTE;jan-18;0
Campo Largo Do Piauí;PI;NORDESTE;jan-18;0
Campo Maior;PI;NORDESTE;jan-18;1
Canavieira;PI;NORDESTE;jan-18;0
Canto Do Buriti;PI;NORDESTE;jan-18;1
